object_name,attr_name,change_count,nochange_count
AlarmClock,ObjectTemperature,0,4862
AlarmClock,breakable,0,4862
AlarmClock,canBeUsedUp,0,4862
AlarmClock,canChangeTempToCold,0,4862
AlarmClock,canChangeTempToHot,0,4862
AlarmClock,canFillWithLiquid,0,4862
AlarmClock,cookable,0,4862
AlarmClock,dirtyable,0,4862
AlarmClock,isBroken,0,4862
AlarmClock,isCooked,0,4862
AlarmClock,isDirty,0,4862
AlarmClock,isFilledWithLiquid,0,4862
AlarmClock,isOpen,0,4862
AlarmClock,isPickedUp,509,4353
AlarmClock,isSliced,0,4862
AlarmClock,isToggled,0,4862
AlarmClock,isUsedUp,0,4862
AlarmClock,mass,0,4862
AlarmClock,moveable,0,4862
AlarmClock,openable,0,4862
AlarmClock,parentReceptacles,522,4340
AlarmClock,pickupable,0,4862
AlarmClock,receptacle,0,4862
AlarmClock,receptacleObjectIds,0,4862
AlarmClock,salientMaterials_Ceramic,0,4862
AlarmClock,salientMaterials_Fabric,0,4862
AlarmClock,salientMaterials_Food,0,4862
AlarmClock,salientMaterials_Glass,0,4862
AlarmClock,salientMaterials_Leather,0,4862
AlarmClock,salientMaterials_Metal,0,4862
AlarmClock,salientMaterials_None,0,4862
AlarmClock,salientMaterials_Organic,0,4862
AlarmClock,salientMaterials_Paper,0,4862
AlarmClock,salientMaterials_Plastic,0,4862
AlarmClock,salientMaterials_Rubber,0,4862
AlarmClock,salientMaterials_Soap,0,4862
AlarmClock,salientMaterials_Sponge,0,4862
AlarmClock,salientMaterials_Stone,0,4862
AlarmClock,salientMaterials_Wax,0,4862
AlarmClock,salientMaterials_Wood,0,4862
AlarmClock,sliceable,0,4862
AlarmClock,toggleable,0,4862
AluminumFoil,ObjectTemperature,0,112
AluminumFoil,breakable,0,112
AluminumFoil,canBeUsedUp,0,112
AluminumFoil,canChangeTempToCold,0,112
AluminumFoil,canChangeTempToHot,0,112
AluminumFoil,canFillWithLiquid,0,112
AluminumFoil,cookable,0,112
AluminumFoil,dirtyable,0,112
AluminumFoil,isBroken,0,112
AluminumFoil,isCooked,0,112
AluminumFoil,isDirty,0,112
AluminumFoil,isFilledWithLiquid,0,112
AluminumFoil,isOpen,0,112
